class,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,68,25,5,20,4,89,8,53,66,74
1,72,64,32,91,69,51,13,91,49,94
1,2,78,80,82,18,68,78,47,79,96
0,62,64,16,26,6,51,6,20,85,48
0,88,25,27,29,20,41,27,28,64,88
4,16,77,71,71,63,52,53,18,58,89
4,87,33,43,96,84,38,19,42,25,54
1,65,40,82,31,64,41,78,65,57,69
2,96,69,85,96,91,80,15,6,66,78
3,32,8,7,47,6,1,42,76,85,54
0,23,60,68,65,38,65,82,29,63,74
3,10,24,43,80,88,65,83,65,13,28
0,12,93,7,26,24,9,38,89,34,65
1,2,64,37,45,66,98,3,44,90,94
4,98,30,59,34,71,99,14,43,64,7
0,52,78,37,55,83,90,59,89,32,55
2,47,57,28,4,54,2,14,28,38,81
3,25,9,14,74,48,52,53,1,61,29
0,77,54,5,78,50,86,31,53,87,93
2,40,73,33,81,80,76,33,2,36,24
3,16,7,97,67,75,19,78,9,64,56
3,57,65,28,27,49,73,40,83,10,35
4,53,84,61,23,35,13,64,82,35,60
1,87,25,85,89,56,39,21,91,63,36
1,37,18,23,66,75,22,86,12,63,53
0,88,44,28,89,43,1,95,99,9,20
3,69,5,6,64,49,41,82,42,70,62
4,92,49,16,82,12,13,51,41,97,67
0,51,64,94,25,69,89,83,6,0,55
1,97,19,37,61,4,48,21,89,54,27
0,68,3,76,38,45,60,86,31,48,61
3,32,5,23,73,43,31,94,78,97,43
0,63,33,76,20,45,10,38,51,43,33
4,59,51,27,96,92,9,43,68,62,64
4,9,8,61,97,66,97,27,66,54,71
2,65,70,30,60,5,81,73,51,19,18
2,59,3,64,26,99,31,27,60,95,27
0,37,0,37,67,47,71,65,66,54,77
1,42,1,88,78,32,36,53,35,33,63
2,0,31,7,74,80,86,66,52,8,42
0,19,8,54,47,69,50,94,52,59,14
0,95,16,69,12,47,87,83,27,66,84
2,54,67,32,58,4,41,77,8,65,65
1,59,80,60,49,38,92,19,87,89,99
2,32,76,19,0,84,41,77,32,52,55
4,9,67,75,3,6,93,28,1,11,31
0,93,64,90,73,75,49,56,98,5,2
3,89,7,94,54,49,4,12,54,60,94
0,52,8,18,94,9,36,60,60,7,65
3,7,42,65,58,32,3,21,60,14,96
2,32,79,6,32,9,83,28,99,67,84
4,19,49,68,26,86,29,97,21,53,20
4,54,21,57,0,60,49,52,31,64,71
1,50,5,88,4,99,48,27,79,15,55
0,69,2,63,85,46,11,33,89,44,43
4,92,66,32,83,74,12,18,37,64,94
1,54,57,35,75,60,48,17,30,64,97
1,3,40,19,25,91,25,94,20,89,97
4,93,83,60,64,35,60,86,97,53,43
0,19,54,55,23,86,72,65,52,64,55
4,12,67,0,87,12,18,39,27,67,48
2,53,17,7,27,15,21,41,76,35,97
2,21,35,64,89,84,35,27,8,85,94
4,68,1,76,79,49,80,24,50,81,99
4,51,89,94,17,27,25,3,15,91,89
2,37,33,5,33,84,92,86,53,87,90
3,89,88,66,77,21,93,85,5,72,28
3,44,51,23,53,86,93,5,68,49,81
0,88,54,71,73,38,50,51,63,12,97
1,23,29,71,28,88,17,78,53,59,70
4,51,52,35,14,95,39,5,31,68,40
0,66,31,97,99,45,60,31,40,69,24
0,12,29,3,20,43,11,49,52,42,67
2,21,51,16,97,4,71,2,58,2,34
3,2,25,23,4,21,49,59,64,95,56
1,93,8,23,67,86,83,16,82,47,24
1,13,59,28,73,62,93,44,72,16,33
1,88,49,32,96,10,71,42,99,85,33
3,19,93,7,16,5,92,12,40,5,29
2,94,72,93,89,93,42,31,27,92,14
3,85,3,83,99,41,10,4,22,36,44
1,13,51,98,67,40,93,67,22,78,44
4,69,22,78,26,62,20,2,57,14,67
3,1,3,82,32,2,87,73,51,96,40
0,59,8,61,26,9,8,29,37,60,74
0,30,76,69,67,93,92,86,70,20,67
0,50,93,12,78,9,49,78,99,85,38
4,66,72,82,1,18,41,43,74,46,55
0,18,5,31,63,52,76,49,87,95,40
0,30,33,35,79,43,31,39,31,66,96
2,82,61,32,2,86,49,41,37,27,97
2,67,86,7,99,48,35,15,47,87,96
1,22,6,16,58,1,88,19,19,32,40
0,88,78,60,7,67,68,3,91,7,34
2,80,65,85,28,1,86,41,32,27,31
4,53,54,49,59,29,9,47,1,59,21
3,59,30,7,18,25,77,43,53,49,27
0,22,80,60,58,84,13,36,19,37,55
2,18,37,9,48,45,26,40,34,38,23
2,62,33,64,87,41,44,86,43,36,50
0,94,50,95,26,24,65,13,17,79,81
2,33,53,5,67,9,63,77,64,92,27
1,77,5,5,0,81,11,28,25,41,68
3,17,50,7,55,76,13,19,26,49,81
3,54,54,58,66,27,51,68,22,79,94
4,52,21,85,91,24,81,17,19,37,94
0,32,36,32,48,57,97,94,76,62,6
0,62,25,47,33,38,49,33,17,87,40
3,35,90,64,21,49,34,94,11,41,40
4,26,87,38,49,20,63,65,65,85,33
0,3,82,66,78,84,1,65,99,38,81
1,44,15,71,98,93,21,51,25,40,34
0,19,83,5,73,93,34,50,6,63,40
3,36,4,12,73,29,46,59,66,73,74
3,59,8,90,23,46,62,22,6,16,19
0,84,88,51,77,91,90,91,73,41,56
0,16,11,41,73,24,93,33,53,52,98
4,88,80,16,47,39,50,97,32,89,28
1,23,18,43,26,93,87,29,32,54,34
2,69,65,62,73,92,90,86,26,79,44
0,23,58,6,28,45,82,12,52,47,11
3,84,64,3,16,75,40,19,37,75,91
4,82,11,10,19,83,53,58,26,59,74
3,32,66,64,73,92,26,39,32,41,65
4,1,5,84,6,85,49,49,27,78,27
0,59,6,83,25,50,76,4,1,64,19
3,83,57,74,89,29,51,91,50,48,29
0,57,62,76,79,55,76,65,42,30,53
0,96,85,25,0,31,42,78,88,37,19
3,31,25,61,54,60,3,34,17,62,44
2,46,40,85,51,12,30,87,64,27,74
1,80,69,83,24,56,81,50,65,90,76
4,65,72,58,90,66,65,15,53,83,8
0,64,19,21,27,64,49,51,52,83,55
3,68,1,10,26,29,50,38,79,94,21
1,73,3,77,95,24,8,52,20,41,28
0,79,72,71,42,49,21,53,44,57,70
4,63,0,11,17,9,13,65,22,38,56
4,89,25,3,31,27,50,78,47,47,96
1,20,58,87,88,9,92,15,94,35,81
2,63,29,47,42,81,49,51,66,92,29
3,68,27,32,5,39,9,78,17,12,96
1,51,49,85,55,75,41,87,65,87,26
0,49,73,97,99,36,78,5,87,68,24
1,55,36,58,66,64,81,73,37,67,97
4,26,65,43,38,38,13,42,89,95,33
4,10,0,10,28,56,40,73,99,49,36
4,27,22,76,43,25,48,86,60,63,27
4,56,1,24,99,47,62,27,8,43,89
0,53,97,60,65,75,50,34,99,75,61
3,79,64,84,73,60,18,17,29,95,28
3,33,8,58,8,35,35,17,41,26,94
3,66,8,32,95,64,22,45,33,38,94
3,24,40,9,58,1,9,26,99,46,82
0,97,8,47,91,9,61,89,63,67,55
0,88,31,63,67,76,70,86,89,79,94
0,97,54,87,47,0,11,39,22,41,64
2,38,90,64,67,49,42,5,52,49,97
2,35,50,35,62,43,18,88,19,73,61
2,77,25,42,79,56,97,58,27,87,44
0,54,63,50,70,75,26,6,52,54,24
2,51,28,15,89,83,44,78,66,38,21
0,63,0,85,38,1,70,52,26,82,28
4,91,49,76,51,38,48,27,53,10,97
3,77,57,32,79,88,49,65,90,79,96
0,84,64,67,99,28,81,78,60,79,93
1,25,53,91,27,20,39,5,17,40,38
1,66,81,7,64,12,72,35,99,54,89
0,30,4,32,96,93,11,78,32,12,40
4,69,3,80,10,30,56,70,39,8,68
1,99,58,52,12,68,92,15,52,49,97
0,83,75,28,94,92,46,78,3,13,33
0,26,8,86,89,6,19,86,52,23,65
3,63,5,80,54,86,90,21,32,63,40
0,90,46,60,73,6,81,65,8,91,96
4,33,5,59,22,36,64,64,4,41,56
0,9,96,97,51,49,95,33,60,38,94
0,10,0,43,55,84,49,94,66,57,44
1,85,33,23,28,85,18,15,29,13,48
0,53,93,7,12,39,49,65,46,45,28
0,99,50,73,48,78,41,78,32,62,8
0,84,64,13,58,85,93,78,26,40,31
0,72,49,97,79,9,92,15,42,93,61
4,88,33,42,80,15,41,7,29,58,93
4,49,35,78,99,4,55,36,66,95,65
3,2,29,97,67,84,10,87,17,21,36
2,36,0,95,59,11,13,13,64,85,67
1,39,5,64,85,88,70,19,45,7,21
3,51,63,32,79,2,35,78,99,12,89
2,40,94,80,78,60,1,5,21,91,9
4,69,20,2,80,45,87,4,53,30,43
1,13,19,32,89,76,9,65,89,8,42
0,23,24,7,64,57,48,35,20,89,5
0,37,30,35,33,88,90,5,6,44,44
2,20,3,43,10,85,41,5,99,79,68
1,13,61,69,66,15,31,51,29,15,77
4,5,18,85,19,24,41,1,46,70,55
3,64,56,74,22,64,33,49,99,16,98
0,89,96,49,51,13,97,59,92,87,1
4,37,8,37,94,1,49,17,17,13,67
2,20,25,14,51,66,70,81,52,10,44
0,5,96,74,83,85,96,41,92,5,24
1,73,78,44,48,89,96,19,65,10,96
4,23,81,37,54,45,49,71,37,33,36
1,13,25,63,4,51,41,78,66,92,48
1,3,84,61,48,43,99,47,92,72,59
0,86,28,21,73,49,21,8,83,27,27
0,4,64,68,67,30,96,16,52,10,74
0,19,64,67,67,67,99,58,17,82,34
1,68,58,77,24,79,86,75,64,49,74
1,36,0,50,36,20,76,82,78,43,68
0,56,1,80,79,86,39,40,20,13,56
0,93,28,78,55,83,62,65,22,73,33
0,82,6,94,94,40,22,33,80,21,17
1,53,6,44,60,50,88,15,19,65,2
0,79,0,80,85,76,38,33,26,23,8
4,65,78,23,26,40,10,6,65,41,59
1,4,40,9,27,12,18,66,52,75,68
0,52,50,5,62,80,8,48,82,66,6
0,88,80,87,0,80,49,15,47,15,84
1,53,57,93,42,78,77,29,30,91,52
0,20,63,47,12,47,49,12,6,36,40
0,69,18,32,4,25,19,51,53,9,94
0,97,89,44,45,47,25,41,26,36,43
2,13,1,79,58,37,75,17,49,12,62
3,68,54,32,4,60,42,81,22,5,76
2,13,93,62,78,47,93,19,64,10,76
0,12,61,32,54,93,98,39,79,37,97
0,52,61,37,43,91,40,13,60,86,18
1,82,47,99,99,4,27,51,20,43,68
0,75,46,32,36,56,46,30,32,16,76
1,29,3,89,89,14,21,39,32,94,69
4,43,85,88,16,58,0,53,24,17,97
0,9,85,87,88,64,59,83,79,85,55
3,52,82,89,43,20,51,13,48,64,55
4,3,40,45,73,88,60,52,38,32,22
0,96,5,61,89,43,65,19,13,13,40
2,9,35,61,77,49,42,78,53,96,68
1,19,17,58,91,0,53,70,99,97,9
4,99,75,63,44,13,93,53,83,90,39
4,55,2,23,83,60,65,28,60,64,98
0,32,68,54,5,86,82,12,2,12,0
1,11,2,35,27,86,27,33,51,13,81
3,32,52,42,51,46,40,57,87,69,14
4,84,19,97,11,79,92,15,89,10,27
0,69,28,76,75,41,49,17,8,79,96
1,72,11,61,73,75,23,86,89,43,43
1,95,50,79,89,38,24,94,39,52,56
4,9,40,5,73,12,81,64,53,32,17
0,64,81,12,8,62,99,15,2,13,24
0,33,64,87,26,67,41,94,53,38,1
3,30,29,55,26,45,41,27,12,92,90
3,2,42,5,93,97,36,59,43,32,65
3,75,73,72,1,49,9,19,20,42,24
3,82,52,50,89,24,51,56,42,27,56
0,9,23,99,83,31,13,26,42,64,88
4,14,78,7,52,78,0,28,29,47,97
4,1,4,35,66,86,86,34,65,15,93
1,6,3,77,93,45,49,43,78,98,82
1,85,57,5,28,10,67,35,54,72,89
0,77,81,7,27,17,41,33,64,7,59
1,20,15,32,90,24,19,80,74,27,27
0,2,72,10,84,49,39,17,37,64,19
0,31,16,21,92,55,53,48,52,13,77
0,29,35,76,99,1,80,78,68,85,44
4,9,65,71,42,84,41,81,7,37,65
2,3,83,45,59,5,64,82,12,17,81
3,85,52,34,2,11,39,12,82,12,33
0,62,41,13,3,49,92,90,60,54,91
3,53,50,76,51,49,68,77,43,10,14
2,1,17,71,26,86,49,39,64,41,59
1,12,0,9,38,47,9,12,52,16,61
2,25,21,64,26,45,65,1,53,40,24
3,59,38,32,38,75,49,38,63,70,96
0,85,77,28,23,86,53,33,29,47,17
4,12,63,35,85,47,70,15,6,49,43
4,51,8,37,94,47,41,19,64,85,56
0,51,71,32,89,31,57,99,61,1,21
1,91,28,24,60,1,10,39,58,55,74
2,50,3,37,90,66,10,52,20,10,67
1,40,88,68,0,13,67,13,26,90,17
1,56,82,84,92,15,73,12,19,43,64
0,66,28,6,64,15,40,96,66,70,94
0,21,40,44,55,83,12,56,7,66,33
0,6,58,5,96,46,81,77,81,96,36
0,12,87,68,7,84,87,51,79,41,33
1,54,33,71,79,84,16,16,89,91,67
2,2,54,80,58,62,66,14,0,87,77
3,51,46,43,67,11,0,86,92,92,87
0,54,97,59,48,62,90,67,32,47,40
4,9,82,48,74,8,0,38,4,76,3
0,3,3,97,89,19,88,75,99,40,82
0,32,28,50,73,66,44,5,54,16,74
0,88,25,32,61,9,67,33,58,85,2
0,26,8,7,4,83,97,65,52,62,9
0,3,53,10,4,80,34,41,53,86,48
1,74,57,17,96,75,88,70,64,0,54
3,73,40,97,29,30,13,64,37,30,34
1,38,11,93,67,39,65,11,22,52,93
1,13,46,54,80,38,26,78,43,66,96
0,31,94,59,12,35,8,26,60,54,94
1,24,49,9,67,88,81,55,29,79,90
0,65,68,68,60,37,14,89,96,40,43
0,9,42,94,85,43,18,92,32,48,18
4,93,2,50,64,39,86,78,52,69,67
1,70,58,7,86,9,50,56,45,10,82
1,89,19,76,0,57,87,9,53,64,99
1,85,84,97,79,43,87,43,40,0,96
3,51,70,83,26,23,82,43,64,15,44
3,3,83,15,11,70,12,52,37,98,76
0,52,3,76,49,49,1,96,36,51,77
0,69,25,35,45,68,40,33,12,11,81
2,39,37,41,94,45,49,78,27,95,40
4,9,77,61,56,68,19,81,66,10,44
0,9,5,24,51,39,72,67,29,52,48
4,18,90,64,34,29,55,51,89,42,35
4,26,40,52,32,62,38,6,43,42,3
4,88,83,9,89,76,75,15,77,52,88
3,54,51,12,54,70,11,40,53,45,44
3,68,30,76,71,29,92,86,29,35,43
4,52,43,63,88,29,73,0,56,69,75
0,23,93,96,12,91,40,64,64,72,97
1,54,88,11,31,29,51,20,35,79,3
3,66,52,43,39,47,92,1,4,41,82
4,84,61,32,47,43,48,33,29,15,18
2,83,43,27,33,70,36,15,52,21,22
4,19,51,3,47,58,51,55,69,64,88
0,96,88,7,90,76,82,26,78,92,56
4,66,60,53,94,69,34,17,53,16,94
3,73,78,19,58,57,92,55,0,77,67
4,22,78,38,47,1,38,93,69,58,3
0,97,93,68,24,43,57,15,53,0,65
3,84,32,77,47,21,51,80,16,90,3
0,30,67,32,90,39,65,76,26,85,8
0,39,38,54,48,77,31,48,30,87,77
3,87,65,80,94,6,77,83,29,32,68
4,97,70,85,47,39,31,44,32,8,94
1,64,19,32,23,46,50,83,87,87,61
2,10,56,27,77,12,41,50,50,87,76
2,35,95,79,81,25,52,6,85,87,12
1,53,66,25,73,1,64,92,40,70,56
0,23,65,12,70,68,43,56,83,10,14
0,19,50,49,27,84,32,43,37,95,34
4,54,25,76,73,57,25,39,91,95,74
0,85,49,83,53,41,49,43,61,90,24
1,9,57,56,26,82,77,1,66,27,99
2,97,88,22,55,45,18,83,37,27,35
0,52,87,35,90,39,13,41,58,10,96
1,62,51,81,71,81,34,64,76,23,22
0,44,53,28,47,86,20,78,58,35,33
1,80,54,43,5,39,83,17,87,43,71
0,21,97,54,13,92,60,37,17,64,9
2,2,4,34,81,50,14,29,1,64,83
0,63,3,76,26,39,89,19,77,13,32
4,77,77,75,44,34,34,90,95,91,78
1,54,65,47,89,49,8,65,27,63,6
4,81,3,11,58,58,52,61,29,33,0
4,70,0,66,23,41,42,0,20,90,24
1,68,22,86,79,86,8,73,7,68,49
4,43,94,31,85,30,78,37,17,94,40
1,74,48,68,59,97,52,61,2,21,58
0,54,63,32,43,92,65,43,99,73,56
2,92,11,24,66,36,35,77,98,89,68
3,41,0,75,27,4,44,87,83,12,45
0,12,31,57,12,43,27,8,29,27,44
3,43,49,37,40,34,54,56,37,64,30
4,2,51,63,44,20,74,43,15,16,70
3,52,88,37,59,34,13,27,41,37,94
0,19,51,32,94,67,71,48,29,85,65
2,65,49,18,26,88,61,36,5,77,61
4,82,4,2,59,59,75,55,57,10,87
4,3,93,8,94,83,13,93,18,64,21
4,21,18,35,95,30,48,28,41,87,96
4,93,38,61,58,43,83,43,71,36,21
1,36,64,64,55,86,35,99,53,89,97
3,59,18,97,48,36,40,12,66,37,34
0,87,82,50,58,25,90,15,87,13,34
4,35,88,93,47,29,61,27,2,19,37
0,54,95,65,70,54,96,7,80,61,94
4,16,43,37,94,49,51,90,81,32,74
2,63,66,64,96,39,55,3,27,91,32
2,32,30,29,29,80,81,39,23,64,31
3,26,9,6,13,5,66,15,56,56,64
4,87,56,60,73,45,76,76,52,92,34
0,67,40,76,89,20,10,21,50,8,27
3,89,95,5,59,38,94,90,60,40,33
4,2,57,93,58,80,73,6,26,14,55
0,50,51,83,99,39,49,32,63,44,34
3,3,9,31,58,70,9,27,85,91,60
4,72,99,30,37,85,73,20,83,83,41
3,13,42,38,3,8,93,52,32,96,94
0,63,5,59,42,50,76,21,6,21,17
0,86,76,35,96,1,41,22,50,54,65
0,43,77,93,33,1,70,11,60,19,97
2,11,1,80,89,67,12,68,64,82,96
2,12,68,28,89,91,72,49,53,3,53
1,2,88,32,67,93,15,41,15,47,36
3,43,39,3,44,49,47,29,35,33,56
0,33,52,11,17,75,62,91,89,45,94
4,93,25,11,19,9,8,51,78,41,53
0,89,78,85,28,75,96,40,93,34,29
0,13,40,45,2,50,9,58,65,37,55
4,63,3,37,24,32,13,56,48,58,74
0,2,64,7,58,15,83,51,50,27,37
4,82,1,46,5,71,87,27,80,64,18
4,68,76,82,73,38,60,48,19,66,44
0,56,44,71,88,49,87,21,12,41,9
0,12,58,22,61,28,64,75,78,42,80
0,68,46,84,79,85,19,73,83,10,94
2,72,76,11,10,11,76,34,91,43,74
4,58,47,36,23,39,57,66,85,94,75
2,46,74,62,58,13,51,15,1,33,85
4,82,49,31,43,1,54,82,83,29,16
2,26,5,24,89,47,40,78,79,59,43
4,54,64,85,79,2,41,15,68,69,81
0,36,5,32,44,34,16,27,85,12,22
4,17,40,32,73,51,87,26,41,16,55
3,42,12,13,94,86,12,17,33,69,94
3,61,51,68,45,10,91,93,81,16,94
3,12,78,57,96,86,13,67,44,53,99
0,85,99,97,55,45,82,77,83,21,52
4,64,96,6,52,2,74,43,15,32,38
1,59,31,67,26,20,37,61,53,27,67
4,30,28,27,78,5,59,43,59,63,81
4,98,28,63,16,56,55,20,9,75,47
3,21,90,54,95,57,42,43,5,66,4
4,89,74,93,59,57,81,66,83,42,64
1,43,77,75,60,32,67,13,60,19,81
4,14,67,75,47,85,72,28,2,56,90
4,77,30,28,38,49,72,68,87,91,34
2,15,20,68,52,54,66,87,83,12,67
4,49,23,85,39,86,1,2,50,64,22
4,3,76,4,78,29,77,2,12,16,41
3,23,95,37,93,86,8,15,95,56,97
1,69,73,11,47,70,41,12,83,61,63
4,69,68,63,94,2,90,65,9,77,41
1,2,14,54,78,3,34,55,17,17,39
3,16,33,5,5,97,88,68,25,39,81
4,19,76,7,48,32,32,14,32,32,90
1,52,1,57,39,1,24,84,78,90,83
0,84,48,76,13,85,61,13,89,58,85
3,30,97,76,54,38,83,27,53,77,58
0,4,0,83,89,80,62,94,40,41,43
4,69,58,65,36,62,54,47,69,64,83
0,72,1,14,4,1,13,29,42,64,56
3,47,97,68,58,20,66,8,0,56,29
0,43,94,92,60,4,81,67,18,64,60
4,89,28,56,96,29,19,6,87,23,97
0,23,29,7,54,14,48,65,51,42,43
0,24,77,97,73,12,1,93,66,35,61
3,62,38,65,20,51,54,80,66,14,10
2,18,83,95,26,51,77,81,54,64,72
4,53,96,81,75,30,41,15,24,64,3
4,37,55,6,37,81,83,14,45,17,57
1,13,50,32,64,9,39,41,26,64,89
1,74,38,43,34,59,72,56,83,29,4
4,69,32,65,39,10,0,52,34,64,70
1,68,28,78,12,60,91,86,89,82,13
1,51,25,86,26,47,27,33,17,89,21
4,43,28,26,13,70,86,52,2,33,3
1,28,87,38,44,62,8,73,11,18,92
4,42,52,32,88,97,63,14,30,45,96
0,43,1,5,2,29,65,43,47,32,79
3,69,76,75,93,39,83,20,28,42,97
4,62,58,48,81,40,13,14,47,26,91
3,89,78,53,14,1,51,19,4,89,13
3,76,1,71,52,79,70,27,57,77,87
1,3,59,5,9,13,49,88,26,58,88
1,83,67,32,19,1,55,91,19,41,79
0,25,56,61,73,48,90,91,29,65,97
0,88,29,55,32,9,48,56,66,40,81
1,20,76,37,78,76,86,12,66,87,33
4,92,8,82,75,54,97,5,80,72,40
4,53,70,79,26,59,64,64,88,33,79
3,16,30,77,92,86,54,71,18,64,75
0,21,81,67,32,69,40,86,46,35,56
4,69,64,9,27,8,41,4,6,30,60
4,1,34,47,88,69,51,17,1,76,29
2,62,57,63,38,29,34,78,85,32,22
4,69,44,63,93,33,92,41,73,46,81
2,89,96,79,11,20,57,61,69,31,73
4,84,96,9,49,59,63,67,7,58,0
4,63,27,11,58,35,34,66,60,12,87
4,11,64,11,24,51,57,78,47,31,91
4,63,1,30,27,57,90,19,4,29,24
4,42,0,64,3,8,38,90,76,44,74
1,12,58,72,90,39,95,44,53,63,40
4,50,93,37,4,35,62,68,48,64,25
2,90,11,63,0,58,8,9,35,17,3
1,82,38,73,60,21,81,20,52,63,36
1,12,66,71,75,93,12,71,44,79,96
0,97,27,53,5,49,9,91,7,53,94
4,19,49,65,94,32,57,43,48,72,36
0,59,29,74,25,19,88,50,63,38,43
4,10,31,10,64,57,40,27,37,35,73
3,65,74,79,26,2,24,27,61,92,97
4,65,91,64,96,54,2,11,61,47,1
3,18,49,65,47,54,72,43,2,71,3
4,82,7,23,48,39,67,56,40,8,88
1,0,8,42,19,49,19,27,78,35,34
2,67,78,3,3,33,26,64,31,12,72
0,29,14,71,3,13,93,19,5,53,65
1,59,3,71,55,54,19,44,92,27,67
0,31,53,61,78,21,3,15,63,46,43
3,66,44,79,78,30,81,28,91,90,94
0,85,8,9,82,66,9,78,53,87,44
4,42,68,65,80,13,49,43,65,51,35
3,30,78,65,41,37,74,87,57,64,87
4,84,57,96,22,69,85,24,69,76,73
4,19,57,30,78,85,25,9,61,63,83
2,54,39,65,52,70,92,22,91,13,16
3,73,50,59,13,62,32,56,33,11,18
1,80,48,25,82,49,96,58,74,73,87
4,9,64,80,5,15,9,83,19,75,86
4,65,11,3,12,97,69,52,83,17,61
0,17,97,69,4,76,37,15,29,30,65
4,7,54,37,88,51,80,90,2,16,58
4,76,26,23,81,86,79,73,40,23,94
0,50,34,73,52,13,87,43,12,23,33
3,6,90,5,26,13,27,26,29,64,89
1,89,4,34,24,35,75,19,32,77,22
4,43,66,52,35,67,17,39,83,64,29
0,8,90,54,77,41,41,31,50,90,98
4,74,79,11,3,70,45,37,24,58,97
3,9,86,59,13,28,77,48,44,37,94
4,82,43,37,39,52,70,33,31,53,78
4,69,77,24,88,21,83,52,90,77,3
0,69,82,50,5,0,32,13,87,84,77
3,63,2,45,44,35,99,43,81,63,35
4,53,36,38,13,80,8,55,4,19,41
2,54,99,89,23,60,93,12,99,47,67
2,86,29,10,85,43,17,17,12,10,49
2,4,40,83,1,1,56,6,19,10,13
