class,x1,x2,x3,x4,x5,x6,x7,x8
0,54,77,122,136,48,209,8,122
0,62,48,34,154,9,119,213,87
0,156,87,134,100,17,186,15,59
0,237,14,168,5,204,94,92,214
0,65,118,76,247,35,32,2,237
0,219,190,238,110,230,55,78,58
0,219,24,197,23,5,143,231,107
0,148,218,100,186,83,204,37,159
0,94,205,233,91,115,237,4,136
0,1,95,167,51,246,198,48,71
0,149,129,201,151,140,131,145,178
0,126,255,169,42,246,85,202,56
0,237,234,65,26,246,228,130,131
0,175,83,55,161,98,108,138,165
0,208,20,208,170,151,203,159,132
0,160,185,171,13,33,131,103,123
0,107,230,154,145,23,225,202,52
0,139,69,209,234,43,157,42,202
0,205,169,160,208,45,67,27,143
0,127,163,38,203,53,208,110,87
0,52,123,217,207,33,196,110,6
0,8,21,217,153,138,249,169,10
0,147,105,100,214,213,145,21,35
0,47,244,161,166,211,204,27,43
0,16,190,36,94,194,32,244,44
0,203,152,26,230,73,50,30,149
0,114,20,119,140,186,26,134,178
0,248,133,170,39,19,207,240,21
0,9,101,85,217,19,66,159,188
0,82,170,225,100,211,215,77,218
0,204,119,213,242,9,206,113,233
0,212,179,24,157,16,78,133,241
0,119,195,92,29,217,226,101,218
0,165,77,212,49,5,144,78,142
0,205,103,242,50,166,225,81,130
0,255,78,103,177,178,252,134,254
0,95,71,63,74,143,144,164,93
0,96,4,154,13,142,152,206,18
0,132,10,34,239,135,27,78,166
0,127,224,47,96,68,113,59,40
0,171,158,180,189,20,249,110,183
0,210,157,55,253,80,87,220,221
0,225,72,153,42,45,225,89,119
0,204,254,77,198,85,151,204,155
0,112,54,77,211,151,196,43,178
0,60,176,251,5,88,96,211,5
0,19,152,190,78,15,160,43,138
0,208,131,114,198,56,199,29,124
0,143,116,160,135,0,209,92,202
0,208,156,2,103,97,130,42,58
0,204,182,87,10,202,201,27,107
0,1,179,221,64,246,126,206,138
0,173,156,250,216,115,179,116,143
0,112,166,114,155,218,196,100,51
0,99,119,97,150,84,159,154,101
0,66,158,233,114,17,34,19,133
0,153,227,193,211,20,152,154,27
0,141,158,76,30,210,201,184,31
0,197,170,197,106,246,87,126,227
0,90,32,63,94,108,211,99,131
0,254,157,212,16,0,250,19,48
0,197,164,16,89,138,32,244,251
0,112,160,76,73,76,177,207,198
0,208,39,97,209,111,113,24,14
0,63,103,65,96,207,153,224,233
0,135,244,128,157,1,237,77,252
0,10,134,16,6,240,108,161,155
0,155,132,100,177,89,246,124,251
0,198,179,107,251,33,153,15,48
0,103,85,48,232,78,131,248,248
0,66,91,217,118,112,143,252,28
0,65,174,81,154,120,223,161,248
0,155,199,142,11,169,113,213,136
0,4,131,219,25,128,225,94,231
0,42,224,154,118,135,251,238,11
0,209,224,11,145,55,143,1,198
0,47,170,100,5,88,137,1,56
0,158,164,252,255,187,64,149,3
0,65,101,34,133,120,184,127,123
0,208,25,142,185,68,114,7,11
0,119,16,217,118,89,25,240,110
0,203,98,63,140,48,53,31,48
0,47,20,56,242,230,66,248,103
0,240,237,230,114,65,112,78,248
0,48,122,201,241,137,152,240,107
0,88,190,20,49,82,48,149,167
0,17,39,162,27,6,37,243,9
0,177,138,144,65,211,193,184,252
0,116,12,225,42,65,67,5,118
0,141,212,128,178,206,93,153,39
0,198,169,72,9,197,47,110,209
0,149,103,238,46,189,117,165,123
0,224,13,85,192,120,236,124,110
0,113,170,206,231,241,130,245,40
0,97,189,190,80,233,115,61,124
0,67,46,99,61,146,82,181,117
0,225,103,224,20,219,176,19,9
0,61,71,61,128,21,191,103,241
0,112,56,1,151,227,67,56,193
0,124,50,59,75,217,166,29,83
0,66,132,114,135,158,100,228,205
0,89,230,246,143,161,32,45,196
0,215,42,151,213,224,158,129,83
0,248,10,12,213,48,177,70,118
0,99,34,58,94,73,29,172,58
0,14,247,94,6,55,196,3,136
0,72,199,170,126,112,131,15,209
0,135,210,7,186,238,229,202,4
0,24,159,229,166,19,112,99,28
0,203,201,72,125,11,181,42,147
0,197,211,7,239,80,152,10,138
0,26,53,135,153,9,21,113,237
0,125,61,161,198,247,122,242,110
0,198,20,132,143,232,228,62,73
0,126,239,83,238,140,175,140,225
0,95,132,216,181,37,120,9,53
0,216,101,252,214,135,34,88,130
0,164,80,161,217,236,10,154,39
0,237,134,96,186,21,26,42,101
0,59,2,172,222,148,184,154,213
0,61,153,210,153,50,64,2,20
0,105,189,219,17,94,228,243,171
0,126,49,46,75,88,73,184,59
0,175,42,120,6,246,233,70,158
0,139,199,160,246,191,67,102,179
0,215,152,123,46,191,114,94,65
0,92,19,70,145,5,179,31,102
0,92,244,56,80,135,208,70,64
0,180,130,128,45,246,176,10,202
0,34,241,70,91,174,32,202,31
0,211,197,27,217,137,19,221,44
0,75,119,12,235,184,132,8,225
0,198,23,77,16,130,135,206,28
0,43,57,5,222,16,177,45,213
0,3,179,105,65,149,248,86,154
0,4,179,10,103,211,214,12,89
0,195,224,77,169,29,123,77,111
0,149,208,168,13,17,134,78,28
0,83,122,162,75,169,179,73,95
0,117,117,28,24,185,223,115,198
0,48,250,112,141,178,82,103,238
0,5,39,180,247,133,109,25,6
0,126,6,7,30,66,246,251,173
0,40,54,209,21,240,81,27,188
1,163,39,151,104,103,17,207,138
0,43,160,155,128,19,96,227,62
0,144,119,200,87,68,246,202,213
0,31,54,128,140,80,253,193,241
0,60,212,96,104,69,246,70,194
0,16,157,49,195,65,179,42,183
0,149,179,8,140,240,225,5,48
0,145,130,209,213,127,228,57,245
0,176,49,100,239,201,127,204,235
0,208,246,151,161,5,152,154,218
0,43,135,196,16,75,198,116,151
0,126,2,56,147,214,154,40,28
0,205,149,197,140,236,170,23,234
0,68,168,69,23,68,30,198,17
0,212,98,18,242,150,96,99,144
0,215,61,107,247,178,93,162,230
0,245,179,34,162,74,124,201,153
0,85,39,28,214,151,242,46,52
0,214,180,156,78,142,132,8,14
0,28,159,217,75,88,78,240,137
0,119,101,42,67,23,159,61,233
0,252,244,251,136,120,222,200,70
0,208,224,55,255,158,238,159,183
0,30,223,210,55,154,223,190,84
0,211,250,114,130,162,134,166,48
0,176,95,188,2,21,179,191,173
0,107,71,137,222,160,55,243,28
0,92,132,76,45,129,210,70,254
0,224,168,216,51,224,119,226,91
0,177,238,229,81,149,152,8,48
0,107,157,166,66,88,85,43,9
0,45,212,20,29,5,203,162,58
0,254,92,98,150,68,117,155,155
0,155,88,12,189,240,169,158,76
0,21,87,249,216,19,53,92,86
0,13,4,188,214,85,255,85,254
0,126,124,22,181,53,29,200,37
0,117,0,105,184,68,26,85,166
0,125,4,55,140,253,134,231,71
0,135,170,100,128,150,114,1,139
0,40,107,216,118,144,45,238,51
0,105,192,158,211,180,244,184,27
0,197,223,196,130,192,194,172,43
0,53,56,77,18,69,190,129,144
0,217,211,115,209,240,93,45,175
1,26,235,77,234,251,132,71,112
0,235,211,22,51,150,208,113,154
0,59,119,16,153,6,177,92,83
0,8,7,155,187,53,236,195,214
0,225,113,14,34,65,124,61,87
0,26,62,112,88,53,246,119,0
0,71,223,137,206,197,212,61,225
0,60,119,181,91,92,92,70,26
0,219,96,114,138,207,236,101,155
0,107,155,193,27,68,152,177,0
0,47,159,175,100,245,157,24,56
0,76,117,219,166,65,187,211,218
0,196,181,94,133,120,113,192,40
0,167,139,112,64,210,109,206,21
0,255,119,120,214,7,226,210,83
0,156,119,20,186,60,134,30,92
0,8,224,85,177,151,226,61,179
0,53,9,9,200,69,226,109,212
0,181,123,204,153,5,159,138,234
0,30,16,196,89,178,244,78,113
0,153,129,224,214,5,200,48,71
0,103,119,66,249,165,70,141,170
0,137,44,153,155,191,97,145,2
0,67,199,84,78,88,126,212,173
0,79,189,55,249,193,102,1,137
0,214,39,105,200,207,97,127,119
0,216,95,230,181,69,36,132,36
0,254,218,178,232,138,53,77,138
0,230,92,249,198,166,246,234,215
0,160,10,247,200,33,117,220,137
0,179,110,213,214,247,196,70,2
0,224,118,202,213,82,4,133,190
0,193,226,209,118,254,228,19,40
0,175,92,55,230,2,126,207,37
0,201,179,203,203,96,1,212,33
0,187,238,105,217,199,196,5,209
0,196,107,34,241,178,196,137,145
0,89,88,232,203,53,104,127,244
0,187,251,193,253,224,45,58,48
0,50,3,56,158,228,95,13,199
0,28,156,63,217,227,108,179,34
0,103,83,10,81,205,7,133,58
0,4,227,153,226,188,97,89,150
0,0,65,219,203,240,7,89,138
0,156,234,105,72,143,39,204,173
0,62,44,212,214,9,225,198,37
0,212,60,100,136,65,10,254,158
0,186,20,189,5,12,162,56,160
0,213,4,200,189,197,30,138,138
0,68,114,115,157,23,194,61,150
0,73,94,25,104,65,29,14,143
0,118,179,77,50,23,52,211,75
0,240,200,199,27,46,193,210,62
0,204,112,148,82,53,159,181,9
0,184,6,212,203,148,79,46,38
0,68,127,126,145,55,159,251,0
0,133,77,160,44,130,157,23,225
0,212,174,137,131,60,198,165,26
0,210,243,24,176,253,93,71,25
0,150,238,216,215,38,249,154,48
0,214,16,162,172,189,100,162,248
0,65,128,197,178,115,206,252,33
0,201,250,7,214,37,22,155,9
0,187,176,178,177,13,131,5,59
0,49,232,231,46,238,211,12,59
0,199,160,189,241,135,113,12,208
0,65,24,79,46,170,196,240,145
0,141,18,39,155,233,196,110,48
0,4,200,29,64,147,246,35,37
0,153,128,26,21,33,206,0,142
0,57,39,97,8,134,113,24,50
0,248,244,85,125,150,63,240,103
0,26,185,137,189,166,226,240,101
0,129,108,214,217,121,92,177,83
0,48,25,181,129,115,209,162,28
0,156,98,114,203,112,85,223,118
0,112,109,189,125,11,226,111,107
0,4,207,206,50,19,54,179,87
0,41,159,40,236,89,184,90,254
0,48,199,120,64,115,180,155,89
0,43,137,177,153,148,139,19,80
1,68,30,209,240,115,52,252,166
0,149,114,99,209,30,2,36,190
0,192,71,193,208,151,52,23,59
0,197,223,39,244,115,82,198,118
0,137,25,160,91,69,87,151,56
0,121,87,20,81,94,159,160,44
0,215,234,141,128,150,179,94,201
0,204,24,19,161,62,238,234,162
0,47,16,58,177,240,29,29,204
0,221,199,70,129,71,116,119,235
0,97,197,127,24,219,196,191,11
0,97,34,210,185,177,222,155,37
0,16,85,197,15,148,208,26,21
0,154,179,32,64,155,240,3,114
0,68,77,128,94,30,255,27,174
0,20,20,19,214,30,22,202,174
0,68,170,255,118,55,176,43,155
0,67,160,111,83,139,97,103,143
0,75,34,210,80,158,223,216,189
0,187,136,156,228,127,0,134,205
0,51,178,201,23,213,244,254,26
0,237,189,226,203,46,117,48,213
0,211,71,7,189,66,73,183,31
0,181,103,97,214,240,36,129,44
0,172,88,112,126,128,73,117,91
0,171,20,81,118,42,67,179,64
0,66,210,189,229,180,78,19,58
0,66,132,144,96,107,246,121,9
0,197,169,9,18,80,228,243,199
0,4,105,216,106,68,251,222,50
0,195,130,72,214,38,139,19,113
0,116,109,105,166,227,10,141,48
0,47,206,99,140,115,246,115,4
0,217,206,185,153,134,159,21,62
0,8,61,216,169,232,32,154,93
0,13,54,137,211,88,244,91,183
0,133,235,216,224,115,52,169,48
0,135,167,96,205,146,135,24,87
0,164,152,128,157,43,186,90,80
0,215,178,97,166,18,29,15,34
0,164,101,20,130,203,181,43,143
0,176,83,80,104,5,97,162,208
0,237,168,76,62,19,191,43,37
0,215,164,208,220,115,208,208,178
0,55,56,45,78,163,25,188,170
0,55,199,219,114,246,180,138,124
0,110,22,60,214,48,165,94,27
0,129,24,162,128,169,131,81,250
0,47,127,13,118,115,240,94,131
0,126,179,6,7,138,117,135,163
0,241,170,204,196,116,114,218,150
0,153,35,103,200,122,46,8,12
0,222,97,144,140,12,246,211,15
0,149,208,70,150,54,17,34,41
0,172,66,9,143,125,184,223,127
0,112,245,112,154,76,181,216,254
0,73,255,128,124,6,47,180,71
0,148,201,0,247,69,225,141,13
0,26,10,105,203,120,157,181,59
0,240,158,193,13,62,249,40,76
0,204,62,196,184,169,191,15,48
0,7,88,58,42,126,29,25,198
0,18,103,72,140,219,231,182,95
0,10,52,128,49,115,247,1,170
0,11,222,48,176,116,73,191,76
0,224,60,46,91,41,58,200,48
0,74,175,5,36,193,81,103,69
0,67,83,219,189,178,73,63,16
0,117,191,94,157,43,157,207,26
0,3,199,18,210,99,58,76,111
0,47,152,252,126,148,114,19,191
0,212,48,213,118,50,5,244,251
0,223,238,16,2,5,149,149,0
0,68,48,15,16,115,82,78,109
0,161,118,49,128,203,93,78,87
0,135,20,206,186,50,153,128,78
0,158,208,165,101,178,191,113,213
0,208,225,134,51,211,55,223,144
0,172,165,31,220,240,213,136,59
0,181,108,128,232,240,159,234,112
0,255,30,148,34,60,159,162,58
0,68,106,152,81,134,131,154,93
0,100,232,232,228,252,157,19,10
0,230,130,217,211,60,238,76,130
0,174,47,233,7,148,114,40,110
0,113,192,10,207,193,51,111,218
0,137,223,100,200,66,113,135,237
0,144,159,155,249,210,48,159,83
0,4,231,21,200,252,25,236,248
0,33,39,74,94,128,208,43,170
0,61,160,206,205,251,0,162,44
0,179,238,81,28,248,238,133,155
0,225,119,162,214,53,246,1,83
0,97,61,34,158,86,180,217,204
0,100,39,16,49,166,143,69,43
0,91,140,161,36,115,222,117,198
0,70,139,151,81,232,219,138,99
0,157,155,76,23,115,225,39,115
0,202,189,10,15,23,66,165,101
0,112,20,141,189,158,29,172,112
0,68,239,188,82,241,226,212,178
0,154,78,39,81,148,135,3,173
0,149,157,72,154,66,65,28,234
0,139,199,184,188,148,226,169,183
0,99,133,245,42,0,32,210,201
0,95,156,100,27,116,92,117,48
0,164,179,168,21,224,46,124,80
0,203,164,70,102,16,51,43,146
0,64,223,76,203,219,85,113,201
0,211,83,11,88,126,181,59,156
0,135,20,127,90,217,92,138,83
0,100,41,129,103,76,152,45,124
0,107,46,157,203,134,131,73,123
0,242,250,19,46,120,247,21,147
0,197,30,4,242,19,55,248,123
0,119,189,236,158,224,92,162,136
0,219,24,233,37,219,54,97,121
0,225,87,37,199,126,152,213,115
0,185,199,29,203,211,211,188,202
0,240,98,52,253,89,80,42,225
0,152,71,181,45,68,244,3,155
0,39,108,252,241,134,151,70,211
0,98,189,7,91,96,131,111,113
0,168,71,41,104,148,131,26,101
0,175,0,107,23,210,27,110,155
0,224,244,249,65,178,25,192,9
0,30,242,196,128,7,111,63,59
0,1,179,58,25,189,179,178,187
0,138,47,197,249,115,113,94,204
0,133,105,105,203,160,206,152,202
0,31,226,169,251,131,226,2,180
0,75,130,22,106,19,105,145,38
0,94,134,193,156,210,252,66,221
0,201,54,31,228,65,56,191,83
0,27,239,181,196,112,181,204,101
0,53,176,133,255,65,244,202,20
0,95,16,20,239,83,117,43,83
0,74,244,124,94,165,2,90,89
0,165,6,97,95,80,74,103,50
0,223,211,190,140,26,169,16,131
0,222,176,169,59,227,236,37,178
0,198,20,224,96,15,225,89,9
0,141,160,137,118,66,85,206,141
0,73,196,58,217,149,108,130,221
0,126,153,19,238,169,215,202,245
0,239,232,243,23,146,152,251,129
0,176,101,13,214,229,254,110,174
0,161,231,210,87,233,181,15,123
0,85,107,95,214,181,123,103,27
0,126,222,77,42,120,214,181,250
0,47,151,100,208,135,176,5,201
0,67,179,160,65,233,156,31,223
0,133,44,8,203,100,153,211,10
0,113,134,161,185,88,157,251,231
0,154,71,29,141,228,66,65,6
0,135,71,215,80,162,246,94,6
0,222,56,76,241,193,246,108,83
0,114,67,2,64,26,157,172,43
0,18,28,128,19,55,157,139,188
0,155,57,172,69,251,48,42,144
0,8,191,76,70,201,94,78,124
0,48,163,210,136,116,95,103,75
0,38,24,49,34,19,39,26,93
0,98,121,185,178,127,146,15,56
0,100,235,184,81,227,73,27,150
0,205,72,10,21,210,157,169,62
0,117,72,100,247,2,29,61,10
0,43,170,70,240,156,100,102,91
0,50,120,206,136,189,203,64,183
0,193,30,63,118,151,84,211,15
0,34,25,105,20,109,5,201,10
0,86,206,252,215,15,45,31,231
0,40,252,104,217,207,86,154,90
0,37,237,70,108,61,67,149,179
0,126,85,112,2,88,12,244,9
0,137,246,55,236,81,207,78,44
0,92,10,232,156,208,25,126,62
0,126,134,147,133,186,149,37,245
0,215,226,94,45,85,113,31,42
0,79,244,158,65,227,246,39,90
0,213,24,225,208,246,113,19,107
0,138,156,2,82,127,139,8,144
0,95,44,105,26,207,46,5,40
0,154,197,154,76,126,224,115,192
0,167,160,150,114,69,108,243,199
0,213,234,196,175,61,66,19,201
0,204,148,120,126,130,254,234,235
0,73,214,112,81,69,47,149,76
0,149,155,32,45,95,94,87,86
0,207,189,72,5,19,81,166,95
0,91,88,25,20,11,169,191,227
0,146,70,46,64,44,131,35,155
0,13,39,85,205,178,94,70,48
0,148,25,128,42,50,131,236,9
0,113,221,193,185,19,64,234,62
0,222,187,7,155,102,249,109,48
0,26,17,217,116,101,32,65,255
0,133,231,153,200,97,55,85,9
0,165,208,212,16,246,117,154,199
0,13,128,230,15,189,225,62,9
0,89,14,109,49,54,236,129,34
0,35,254,169,198,139,97,154,158
0,43,34,44,237,115,159,62,173
0,59,101,114,66,20,159,167,58
0,66,61,217,177,23,2,214,138
0,133,255,100,184,121,176,202,189
0,201,16,220,208,128,152,92,0
0,175,148,91,66,115,222,240,95
1,129,137,128,5,115,126,251,66
0,156,94,29,203,81,127,204,179
0,128,164,11,80,253,32,26,136
0,203,208,39,183,48,97,202,221
0,170,130,128,255,228,54,101,14
0,86,217,95,36,68,214,54,118
0,96,88,197,65,162,219,81,49
0,13,177,100,61,16,124,206,255
0,160,71,69,122,240,172,130,76
0,176,167,137,158,56,132,220,112
0,189,226,35,158,37,196,134,135
0,29,25,123,156,65,189,15,151
0,121,77,37,23,123,124,204,202
0,31,208,220,215,227,40,31,199
0,209,56,55,242,7,236,164,103
0,103,94,172,161,160,78,78,10
0,24,176,144,253,227,208,14,192
0,81,10,181,94,193,55,21,80
0,204,208,167,155,219,246,113,13
0,65,120,116,183,112,143,155,199
0,126,128,7,141,118,52,153,58
0,135,152,252,128,73,69,231,248
0,13,119,29,118,68,253,73,62
0,66,60,96,118,191,155,240,159
0,197,156,197,135,37,159,45,7
0,65,47,83,22,125,86,223,207
0,29,173,23,253,86,126,154,123
0,202,105,37,51,115,117,11,113
0,237,29,225,140,89,186,204,210
0,248,29,216,141,63,157,117,62
0,225,54,52,166,243,196,78,233
0,240,217,252,83,135,66,8,233
1,30,235,23,50,240,176,8,152
0,30,56,114,74,38,236,61,74
0,179,204,236,238,120,45,110,34
0,88,20,16,5,69,126,177,131
0,149,0,217,16,207,10,85,158
0,100,103,20,16,178,84,13,83
0,59,2,177,46,119,134,78,201
0,71,208,7,153,126,66,197,82
0,156,170,190,81,114,0,172,201
0,4,101,193,217,38,211,159,91
0,26,238,61,203,148,151,242,56
0,120,63,4,16,213,233,202,85
0,228,16,32,36,53,127,110,233
0,29,134,246,232,69,19,145,238
0,117,132,13,36,53,29,243,248
0,230,125,237,61,223,131,5,161
0,94,238,217,155,201,131,184,82
0,117,68,181,77,207,159,184,233
0,162,130,164,7,195,22,154,58
0,248,72,12,131,160,117,94,50
0,61,26,162,217,162,223,244,71
0,223,139,3,172,115,246,57,25
0,148,39,24,61,137,59,159,248
0,185,207,148,69,149,182,162,26
0,173,56,120,40,211,214,166,88
0,248,167,209,11,112,55,46,151
0,47,34,189,249,218,169,246,62
0,198,89,126,61,224,152,110,150
0,215,54,180,253,219,155,43,213
0,4,75,151,220,203,201,8,62
0,8,202,28,40,60,208,73,115
0,150,174,28,72,68,46,65,24
0,211,208,23,30,207,201,222,26
0,148,77,76,166,240,214,190,117
0,60,119,105,36,131,44,175,147
0,239,103,20,188,19,162,141,20
0,111,191,100,214,240,169,1,63
0,3,166,170,213,218,27,1,138
0,95,25,252,68,148,162,153,123
0,19,161,229,28,233,153,165,63
0,113,56,194,56,213,122,126,103
0,66,204,20,2,44,134,110,254
0,137,139,155,39,120,219,47,28
0,126,39,251,65,137,134,228,129
0,246,89,182,24,68,40,244,28
0,66,25,167,97,227,22,1,228
0,105,26,195,228,228,151,103,87
0,201,57,188,45,224,201,124,9
0,204,170,75,164,208,233,220,48
0,61,208,142,211,126,136,244,16
0,218,72,63,16,240,209,130,81
0,50,75,175,166,5,152,9,194
0,254,71,224,30,53,11,42,131
0,97,156,151,253,196,30,90,93
0,48,205,107,76,88,134,240,48
